RCP_NM,rcp_parts_dtls_cleaned
양배추롤&참치두부쌈장,"밥 양배추 참치 캔 
두부 양파 파 마늘 
된장 고추장 매실청 
참기름 깨 물"
라비올리 크림소스,양파 마늘 새우살 게살 식용유 크림 파마산치즈 버터 라비올리 죽 력분 강력분 달걀 물 시금치 비트
라비올리 토마토소스,력분 강력분 달걀 물 양파 당근 토마토 토마토 스 셀러리 바질 오레가노 로즈마리 물필요량 설탕 마늘다진것 리코타치즈 우유 레몬즙 차이브 파마산치즈
미역 조랭이 떡국,미역마른것 우엉 조랭이 떡 들깨 들기름 마늘 물 국간장
버섯 리조또,쌀 양송이버섯 마늘다진것 닭 파슬리다진것 타임다진것 올리브오일 파마산치즈 버터 금 후추
서리태 잣국수,잣 서리태 오이 밀가루 금 체리토마토 흑임자 물
,
,
팥죽,팥 찹쌀가루 찹쌀 물 설탕기호에따라
호박만두,애호박 표고버섯 청고추 금 시금치 참기름 통깨 식용유 후춧가루 밀가루 물 스 초간장 간장 식초 물
감자 팬케익,감자 양파다진것 체리 사과 청포도 식초 물 달걀흰자 밀가루 베이킹 파우더 마늘가루 후춧가루 식용유 스 과일조림 설탕 포도주스 레몬주수 계피가루
단호박 두부 포타주,단호박 두부작은것 두유 다시마국물 금 후춧가루
쇠고기와 검은콩 요리,쇠고기갈은것 서리태 셀러리 양파 청피망 토마토 베이컨 현미 닭 물 마늘다진것 월계수잎마른것 타임마른것 후춧가루 카엔페퍼
,
양송이버섯 달걀 크레페,양송이버섯 달걀 에벤탈치즈 메밀가루 달걀 밀가루 우유 설탕 양파 파슬리다진것 감자 로즈마리다진것 마늘다진것 식용유
파인애플떡갈비,"고기 갈빗살 파인애플 
양파 표고버섯 전분 
파 마늘 진간장 설탕 
참기름 후춧가루"
건강가지말이+참깨마요소스,"가지 단호박 
삼색파프리카 당근 사과 
배 무순 청양고추 
마요네즈 참깨 꿀"
순창 고추장 두부강정,"고기 불고기용 두부 
새송이버섯 당근 양파 
마늘 강가루 고추장 
튀김가루 전분 맥주 
 금 간장 꿀 케첩 
올리고당"
곤약 백김치 말이,"오징어 곤약 백김치 
삼색파프리카 부추 청주 
통후추 월계수잎"
묵은지비프롤,"고기 불고기용 묵은지 
팽이버섯 아스파라거스 
삼색파프리카 참나물 
달걀 전분 올리브오일 
매실액 레몬즙 금 
후춧가루"
바나나를 감싼 일본식 달걀말이,"달걀 바나나 전분 
 금"
그린커리,"닭고기 가슴살 그린커리
페이스트 코코넛밀크 
당근 가지 양송이버섯 
레몬그라스 마늘"
현미 고구마 아란치니,"고구마 현미밥 
새송이버섯 당근 양파 
달걀 파슬리 빵가루 
밀가루 금 후춧가루 
식용유"
유자 치킨 꿔바로우,"닭고기 가슴살 강 
녹말 찹쌀가루 유자청 
전분 꿀 금 
후춧가루 식초 식용유 
물"
펌킨크로켓,"단호박 양파 
당근 참나물 달걀 
모짜렐라치즈 빵가루 
식용유 금 후춧가루"
이태리튀밥,"쌀 방울토마토 
바질 옥수수 달걀 
빵가루 파마산치즈가루 
생모짜렐라치즈 버터 
올리브오일 금"
현미 입은 미트볼,"고기 돼지고기 추 
배 현미튀밥 밀가루 
양파 마늘 쪽파 
생강 간장 금 
후춧가루 참기름 참깨"
시금치 볶음 쌀국수,"새우 쌀국수 시금치 
달걀 메추리알 마늘 
굴 스 식초 땅콩 
전분 청주 고추기름 
 금 후춧가루 
올리브오일"
새우채소꼬치구이,"새우 단호박 양배추 
방울토마토 파 후추"
영유아를 위한 고소한 닭꼬치,"닭고기 가슴살 우유 
아몬드슬라이스 참깨 
흑임자 금 후춧가루"
얌얌 맛있게타,"바게트 새송이버섯 
표고버섯 방울토마토 
바질 모짜렐라치즈 
마늘 올리브오일 금"
오! 푸룻한 뿌리채소,"우엉 연근 오렌지 
요거트 크랜베리 땅콩 
호두 레디쉬 식초 
머스터드 얼음"
채소 팬케익,당근갈은것 돼지호박갈은것 셀러리다진것 양파다진것 력분 후춧가루 저나트륨 베이킹 파우더 머스터드 파우더 식용유 달걀 저지방우유 메이플시럽
누룽지과자,밥 달걀흰자 밀가루 식용유 땅콩 건포도 호두 딸기잼
단호박 경단,단호박 찹쌀가루 카스텔라 금 건포도 호박씨 잣 물
모듬탕수,표고버섯마른것 연근 주황파프리카 노랑파프리카 브로컬리 식용유 스 탕수 스 감자녹말가루 레드와인 간장 식초 설탕
,
가지볶음,가지 강 고추장 물엿 통깨 들기름
감자냉채,감자 래디쉬 오이 스 단촛물 물 식초 설탕 파인애플주스 금 겨자초장 겨자가루 물미지근한것 설탕 식초 금 파인애플주스
,
나박김치,배추잎 무 당근 실파 수삼 마늘 강 고춧가루 미나리 홍고추 물 금
,
단호박 두부찜,단호박 두부 마늘 풋고추 스 저나트륨조림 스 간장 청주 다시물 맛술 설탕 금 식용유
단호박전,단호박 밀가루 금 식용유 물
도라지 검은깨 튀김,도라지 검은깨 찹쌀가루 튀김가루 식용유 스 저나트륨 간장 스 간장 식초 설탕 물 고추냉이
발사믹으로 양념한 채소요리,브로컬리 컬리플라워 돼지호박 당근 양파 가지 스 저나트륨 발사믹 스 올리브오일 포도식초 오레가노마른것 타임마른것 로즈마리마다진것 저나트륨 금
버섯 굴소스 볶음,표고버섯 양송이버섯 느타리버섯 팽이버섯 새송이버섯 식용유 스 굴 스 굴 스 간장 마늘다진것 물 참기름 부추 또는 실파
,
상추 겉절이,상추 간장 물 매실농축액 고춧가루 통깨 식초 영양부추 양파 홍고추
연근고구마샌드위치,"연근 고구마 견과류 
튀김가루 백년초가루 
달걀 식용유 금 
식초"
파프리카깍두기(어린이용),"무 파프리카 사과 
현미 실파 멸치 마늘 
멸치액젓 올리고당 천일염"
과일 김치,"사과 배 복숭아 
토마토 치커리 고춧가루 
마늘 깨 참기름 금"
오이 짱아지 무침,"오이 고춧가루 매실액 
양파 파 마늘 참기름"
비트 배추피클,"비트 배추 무 사과 
당근 식초 설탕 
월계수잎 통후추 물"
오징어와사비마요무침,"진미채 유자청 마요네즈 
와사비 레몬즙 깨"
삼색 버터롤,"홍시 호두 곶감 
 추 블루베리 크랜베리 
강력분 꿀 버터 
달걀 이스트 금 
탈지분유 제빵 량제 물"
고구마빵&과일잼,"고구마 제철과일 달걀 
우유 크랜베리 아몬드 
호두 올리고당 레몬즙 
올리브오일"
감말랭이 찰빵,"감말랭이 쌀가루 보릿가루 
밀가루 고구마 냉동딸기 
흑임자 금 식용유"
바나나 속 달걀빵,"달걀 바나나 밀가루 
우유 베이킹파우더 
버터 금 물"
두부빼빼로,"두부 포도 호두 
검은깨 식빵 밀가루 
계피가루 금 꿀 
식용유 물"
땅콩호박 타르트,"땅콩호박 아몬드가루 
버터 박력분 요거트 
달걀 사과 전분 
 금 호두"
고구마 바나나 무스,"고구마 바나나 달걀 
크림치즈 우유 크림 
딸기잼 젤라틴 바닐라빈 
올리고당"
단호박치즈스틱,"단호박 새우살 
삼색파프리카 양파 
옥수수 모짜렐라치즈 
춘권피 크림 식용유"
크랜베리 샤브레 쿠키,"크랜베리 슈가파우더 
박력분 아몬드가루 
백년초가루 우유 버터"
생과일 타르트,"박력분 버터 달걀 
아몬드가루 꿀 크림 
블랙초콜릿 키위 
블루베리 체리"
당 떨어진 마들렌,"추고 추 당근퓨레 
녹차가루 팥앙금 박력분 
꿀 버터 달걀 
베이킹파우더 금"
삼색 머핀,"당근 시금치 사과 
호두 크랜베리 박력분 
꿀 버터 달걀 금 
베이킹 다 베이킹파우더 
물"
수삼 냉채,수삼 배 오이 샐러리 스 저나트륨내채 스 추 유자청 금 식초 꿀
아시아식 채소 두부 볶음,해선장 간장 녹말 참기름 식용유 마늘다진것 두부 그린빈 청경채 영콘 밤 땅콩다진것 물
양배추 깻잎 피클,양배추 깻잎 설탕 청고추 홍고추 스 피클 스 물 식초 금 통후추
,
