RCP_NM,rcp_parts_dtls_cleaned
버섯곤드레밥,"쌀 건곤드레 느타리버섯 참기름 
비빔장 두부 된장 다진청고추 다진홍고추 다진마늘 
다진 파 참기름 통깨"
바다향이 풍부한 전복죽,"전복 당근 건조미역 
찹쌀 흑임자 참기름 청주 흰후추"
주꾸미연포탕,"주꾸미 무 양파 파 미나리 단호박 청고추 
국물 해물 청양고추 마늘 흰후추"
함초소고기말이,"쇠고기구이용 알마늘 홍고추 양파 
함초 무순 노란색파프리카 
 스 마늘기름 맛간장 허브식초 연겨자 버섯마늘 금"
묵계밥,"도토리묵 올방 묵 검정깨묵 각각 
귀리밥 계란 콩나물 
국물 닭가슴살 마늘 파 양파 맛간장 흰후추 버섯마늘 금"
근채류주먹밥,"우엉 연근 감자 청고추 양파 당근 
쌀 오이 통깨 맛간장 참기름 마늘기름 함초 금"
단호박약식,"미니 단호박 찹쌀 밤 추 크린베리 
"
달콤스테이크,"채끝살 감자 시금치 당근 
 스 레드와인 망고 딸기잼 볶은 금 후추 
무염버터 설탕 레몬즙 다진양파"
삼색샌드위치,"식빵 토마토 어린이치즈 양상추 
감자 올리고당 달걀 당근 오이 
양파 금"
황태탕수육,"황태채 밀가루 찹쌀가루 녹말가루 
삼색분말 각 달걀 튀김기름 
 스 파프리카 양파 당근 오이 
파인애플 저염간장 설탕 식초 
물녹말 녹말가루 물"
밥핫도그,"시지 나무막 기 밀가루 달걀 
빵가루 튀김기름 파프리카 밥 
감자 달걀흰자 금"
스테이크카나페,"등심 금 후춧가루 로즈마리 
애호박 양파 가지 파프리카 
토마토 
 스 발사믹 스 설탕 마늘 사과"
꽃밥,"라이스페퍼 당근 달걀 시금치 
 금 돼지고기 마늘 파 맛술 
저염간장 설탕 통깨 참기름 
후춧가루 고구마 두부 토마토 
양파 견과류"
버섯만두찜,"밀가루 시금치가루 호박가루 
백년초가루 물 식용유 금 
양파 양송이버섯 새송이버섯 
표고버섯 두부 금 새우 마늘 
우유 크림"
떡갈비주먹밥,"다진 고기 다진돼지고기 찹쌀가루 밥 
 파 후춧가루 맛술 저염간장 
생크림 식용유 새송이버섯 시금치 
당근 양파 마늘 떡볶이떡 
저염간장 올리고당"
홍합죽,"쌀 참기름 홍합 양파 당근 
표고버섯 건새우 
 건새우 다시마"
샐러드돈가스,"돼지등심 정종 금 후춧가루 
우유 밀가루 달걀 빵가루 
튀김기름 
 스 삶은 달걀 피클 마요네즈 
 곁들임채 방울토마토 양상추 
어린잎채 파슬리가루"
조개크림파스타,"스파게티 올리브오일 금 양송이 
새우 파슬리가루 버터 양파 마늘 
밀가루 우유 크림 
 조 물"
닭날개튀김,"닭봉 오렌지 레몬 강즙 
카레가루 튀김기름 
 스 양파 땅콩 마요네즈 
파스리가루 요거트 
 곁들임채 어린잎"
해산물리조또,"보리쌀 당근 양파 마늘 파 
버터 오징어 새우 시금치 금 
생크림 우유 치즈 파슬리가루 
 조 다시마"
